Quality,Authenticity,Correspondence,image_path,model,Challenge,Category,Prompt
68.12995415544702,60.84090244775141,62.98609013125774,./Dataset/AIGCIQA2023/Image/allimg/52.png,controlNet,Simple Detail,Artifacts,a teddy bear on a skateboard
57.34534210212419,53.53808840141461,55.29701414528215,./Dataset/AIGCIQA2023/Image/allimg/53.png,controlNet,Simple Detail,Artifacts,a teddy bear on a skateboard
47.20024056129545,50.26506521381715,48.4148398422513,./Dataset/AIGCIQA2023/Image/allimg/54.png,controlNet,Simple Detail,Artifacts,a teddy bear on a skateboard
63.61267688666457,59.53947141745711,55.39472456470205,./Dataset/AIGCIQA2023/Image/allimg/55.png,controlNet,Simple Detail,Artifacts,a teddy bear on a skateboard
62.21777640154945,56.75662423511454,55.67138839378244,./Dataset/AIGCIQA2023/Image/allimg/64.png,controlNet,Simple Detail,Illustrations,A heart made of chocolate
60.24483016576946,60.9886329673785,56.06046477168659,./Dataset/AIGCIQA2023/Image/allimg/65.png,controlNet,Simple Detail,Illustrations,A heart made of chocolate
64.72376394432234,61.84329920164358,61.07322469516074,./Dataset/AIGCIQA2023/Image/allimg/66.png,controlNet,Simple Detail,Illustrations,A heart made of chocolate
58.55848567724006,62.015346373154806,62.21921989545488,./Dataset/AIGCIQA2023/Image/allimg/67.png,controlNet,Simple Detail,Illustrations,A heart made of chocolate
46.66101407763148,42.215649487913225,40.83722746380329,./Dataset/AIGCIQA2023/Image/allimg/80.png,controlNet,Complex,Animals,A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.
56.6570733638659,45.55619835266437,39.71204421043647,./Dataset/AIGCIQA2023/Image/allimg/81.png,controlNet,Complex,Animals,A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.
50.44172368174934,46.88863479126179,41.29711917631025,./Dataset/AIGCIQA2023/Image/allimg/82.png,controlNet,Complex,Animals,A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.
56.603591414331824,50.55235038333,48.541996249868845,./Dataset/AIGCIQA2023/Image/allimg/83.png,controlNet,Complex,Animals,A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.
59.90378565244291,52.4410239085658,60.58937809462638,./Dataset/AIGCIQA2023/Image/allimg/92.png,controlNet,Complex,Artifacts,a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese
55.13376832717946,47.13027777523516,45.42694370639491,./Dataset/AIGCIQA2023/Image/allimg/93.png,controlNet,Complex,Artifacts,a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese
58.12560362881345,49.61291513030604,52.171943796046605,./Dataset/AIGCIQA2023/Image/allimg/94.png,controlNet,Complex,Artifacts,a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese
58.60548220252944,47.08357870451348,41.72422919209576,./Dataset/AIGCIQA2023/Image/allimg/95.png,controlNet,Complex,Artifacts,a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese
56.30076509241396,51.44032018637106,46.54120796325157,./Dataset/AIGCIQA2023/Image/allimg/104.png,controlNet,Complex,Illustrations,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats."
57.98560151068506,55.29973175968031,54.23144118406141,./Dataset/AIGCIQA2023/Image/allimg/105.png,controlNet,Complex,Illustrations,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats."
51.35335919918681,51.20222315594909,45.317733648230366,./Dataset/AIGCIQA2023/Image/allimg/106.png,controlNet,Complex,Illustrations,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats."
63.67511594580369,56.9573988401216,53.900383509697406,./Dataset/AIGCIQA2023/Image/allimg/107.png,controlNet,Complex,Illustrations,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats."
61.79935275583905,59.52432825336788,56.29213271968122,./Dataset/AIGCIQA2023/Image/allimg/116.png,controlNet,Complex,World Knowledge,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu"
55.74447645340369,52.87350147480253,54.4323410449858,./Dataset/AIGCIQA2023/Image/allimg/117.png,controlNet,Complex,World Knowledge,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu"
58.2184368372002,53.80856764885929,58.2823988908644,./Dataset/AIGCIQA2023/Image/allimg/118.png,controlNet,Complex,World Knowledge,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu"
49.88224670403831,42.07319610069162,47.81635571136705,./Dataset/AIGCIQA2023/Image/allimg/119.png,controlNet,Complex,World Knowledge,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu"
56.302012529390446,52.50184188480195,47.86404541726124,./Dataset/AIGCIQA2023/Image/allimg/120.png,controlNet,Fine-grained Detail,Animals,a dolphin in an astronaut suit on saturn
48.83019029001233,42.22962593984043,38.78774022853393,./Dataset/AIGCIQA2023/Image/allimg/121.png,controlNet,Fine-grained Detail,Animals,a dolphin in an astronaut suit on saturn
51.67608018234149,43.25178600316681,44.74393117336909,./Dataset/AIGCIQA2023/Image/allimg/122.png,controlNet,Fine-grained Detail,Animals,a dolphin in an astronaut suit on saturn
53.31711560193163,49.27079311066919,46.68499454524133,./Dataset/AIGCIQA2023/Image/allimg/123.png,controlNet,Fine-grained Detail,Animals,a dolphin in an astronaut suit on saturn
54.58260667101882,58.14112370685526,53.83198402583425,./Dataset/AIGCIQA2023/Image/allimg/132.png,controlNet,Fine-grained Detail,Artifacts,purple lego dollhouse with a pool and a swing
55.99860795277986,59.75339072195517,58.61000396571999,./Dataset/AIGCIQA2023/Image/allimg/133.png,controlNet,Fine-grained Detail,Artifacts,purple lego dollhouse with a pool and a swing
